customerid,churn,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,charges,no_phone_service,internetservice_none
0023-HGHWL,yes,male,1,0,0,1,0,0,dsl,0,0,0,0,0,0,month-to-month,1,electronic check,"{""monthly"": 25.1, ""total"": ""25.1""}",1,0
0023-UYUPN,no,female,1,1,0,50,1,1,no,0,0,0,0,0,0,one year,0,electronic check,"{""monthly"": 25.2, ""total"": ""1306.3""}",0,1
0023-XUOPT,yes,female,0,1,0,13,1,1,fiber_optic,0,1,1,0,1,0,month-to-month,0,electronic check,"{""monthly"": 94.1, ""total"": ""1215.6""}",0,0
0027-KWYKW,no,female,0,1,1,23,1,1,fiber_optic,0,0,0,0,1,0,month-to-month,1,electronic check,"{""monthly"": 83.75, ""total"": ""1849.95""}",0,0
0030-FNXPP,no,female,0,0,0,3,1,0,no,0,0,0,0,0,0,month-to-month,0,mailed check,"{""monthly"": 19.85, ""total"": ""57.2""}",0,1
0031-PVLZI,yes,female,0,1,1,4,1,0,no,0,0,0,0,0,0,month-to-month,0,mailed check,"{""monthly"": 20.35, ""total"": ""76.35""}",0,1
0032-PGELS,yes,female,0,1,1,1,0,0,dsl,1,0,0,0,0,0,month-to-month,0,bank transfer (automatic),"{""monthly"": 30.5, ""total"": ""30.5""}",1,0
0036-IHMOT,no,female,0,1,1,55,1,0,fiber_optic,0,1,1,1,1,1,one year,1,bank transfer (automatic),"{""monthly"": 103.7, ""total"": ""5656.75""}",0,0
0040-HALCW,no,male,0,1,1,54,1,0,no,0,0,0,0,0,0,two year,0,credit card (automatic),"{""monthly"": 20.4, ""total"": ""1090.6""}",0,1
0042-JVWOJ,no,male,0,0,0,26,1,0,no,0,0,0,0,0,0,one year,1,bank transfer (automatic),"{""monthly"": 19.6, ""total"": ""471.85""}",0,1
0042-RLHYP,no,female,0,1,1,69,1,0,no,0,0,0,0,0,0,two year,0,bank transfer (automatic),"{""monthly"": 19.7, ""total"": ""1396.9""}",0,1
0047-ZHDTW,nan,female,0,0,0,11,1,1,fiber_optic,1,0,0,0,0,0,month-to-month,1,bank transfer (automatic),"{""monthly"": 79.0, ""total"": ""929.3""}",0,0
0048-LUMLS,no,male,0,1,1,37,1,0,fiber_optic,0,0,0,0,1,1,one year,0,credit card (automatic),"{""monthly"": 91.2, ""total"": ""3247.55""}",0,0
0048-PIHNL,no,female,0,1,0,49,1,0,no,0,0,0,0,0,0,one year,0,bank transfer (automatic),"{""monthly"": 20.45, ""total"": ""900.9""}",0,1
0052-DCKON,no,male,0,1,0,66,1,1,fiber_optic,1,1,1,1,1,1,one year,0,bank transfer (automatic),"{""monthly"": 115.8, ""total"": ""7942.15""}",0,0
0052-YNYOT,no,female,0,0,0,67,1,0,no,0,0,0,0,0,0,one year,0,electronic check,"{""monthly"": 20.55, ""total"": ""1343.4""}",0,1
0056-EPFBG,no,male,0,1,1,20,0,0,dsl,1,0,1,1,0,0,two year,1,credit card (automatic),"{""monthly"": 39.4, ""total"": ""825.4""}",1,0
0057-QBUQH,no,female,0,0,1,43,1,1,no,0,0,0,0,0,0,two year,1,electronic check,"{""monthly"": 25.1, ""total"": ""1070.15""}",0,1
0058-EVZWM,no,female,0,1,0,55,1,1,fiber_optic,1,0,0,0,1,0,month-to-month,1,bank transfer (automatic),"{""monthly"": 89.8, ""total"": ""4959.6""}",0,0
0060-FUALY,no,female,0,1,0,59,1,1,fiber_optic,1,1,0,0,1,0,month-to-month,1,electronic check,"{""monthly"": 94.75, ""total"": ""5597.65""}",0,0
0064-SUDOG,no,female,0,1,1,12,1,0,no,0,0,0,0,0,0,two year,0,bank transfer (automatic),"{""monthly"": 20.3, ""total"": ""224.5""}",0,1
0064-YIJGF,no,male,0,1,1,27,1,1,fiber_optic,0,0,0,0,0,0,month-to-month,1,bank transfer (automatic),"{""monthly"": 75.75, ""total"": ""1929""}",0,0
0067-DKWBL,yes,male,1,0,0,2,1,0,dsl,1,0,0,0,0,0,month-to-month,1,electronic check,"{""monthly"": 49.25, ""total"": ""91.1""}",0,0
0068-FIGTF,no,female,0,0,0,27,1,0,dsl,0,1,1,1,1,1,one year,0,mailed check,"{""monthly"": 78.2, ""total"": ""2078.95""}",0,0
0071-NDAFP,no,male,0,1,1,25,1,1,no,0,0,0,0,0,0,two year,0,credit card (automatic),"{""monthly"": 25.5, ""total"": ""630.6""}",0,1
0074-HDKDG,no,male,0,1,1,25,1,0,dsl,1,1,1,0,0,0,one year,1,bank transfer (automatic),"{""monthly"": 61.6, ""total"": ""1611""}",0,0
0076-LVEPS,no,male,0,0,1,29,0,0,dsl,1,1,1,1,0,0,month-to-month,1,mailed check,"{""monthly"": 45.0, ""total"": ""1242.45""}",1,0
0078-XZMHT,no,male,0,1,0,72,1,1,dsl,0,1,1,1,1,1,two year,1,bank transfer (automatic),"{""monthly"": 85.15, ""total"": ""6316.2""}",0,0
0080-EMYVY,no,female,0,0,0,14,1,0,dsl,0,1,0,0,0,0,one year,0,credit card (automatic),"{""monthly"": 51.45, ""total"": ""727.85""}",0,0
0080-OROZO,no,female,0,0,0,35,1,0,fiber_optic,0,0,1,1,1,1,one year,1,electronic check,"{""monthly"": 99.25, ""total"": ""3532""}",0,0
0082-LDZUE,no,male,0,0,0,1,1,0,dsl,0,0,0,0,0,0,month-to-month,1,mailed check,"{""monthly"": 44.3, ""total"": ""44.3""}",0,0
0082-OQIQY,no,male,0,0,0,29,1,0,fiber_optic,0,0,0,1,1,1,month-to-month,1,electronic check,"{""monthly"": 94.2, ""total"": ""2607.6""}",0,0
0083-PIVIK,no,male,0,0,0,64,1,1,dsl,1,1,1,1,1,0,one year,0,electronic check,"{""monthly"": 81.25, ""total"": ""5567.55""}",0,0
0089-IIQKO,no,female,0,1,1,39,1,1,fiber_optic,0,0,0,1,1,1,month-to-month,1,credit card (automatic),"{""monthly"": 99.95, ""total"": ""3767.4""}",0,0
0093-EXYQL,no,female,1,0,0,40,1,0,fiber_optic,0,0,0,0,1,1,month-to-month,1,electronic check,"{""monthly"": 91.55, ""total"": ""3673.6""}",0,0
0093-XWZFY,yes,male,0,0,0,40,1,1,fiber_optic,0,1,1,0,1,1,month-to-month,1,credit card (automatic),"{""monthly"": 104.5, ""total"": ""4036.85""}",0,0
0094-OIFMO,yes,female,1,0,0,11,1,0,fiber_optic,0,1,0,0,1,1,month-to-month,1,electronic check,"{""monthly"": 95.0, ""total"": ""1120.3""}",0,0
0096-BXERS,no,female,0,1,0,6,1,1,dsl,0,0,0,0,0,0,month-to-month,0,electronic check,"{""monthly"": 50.35, ""total"": ""314.55""}",0,0
0096-FCPUF,no,male,0,0,0,30,1,1,dsl,1,0,0,0,0,1,month-to-month,1,mailed check,"{""monthly"": 64.5, ""total"": ""1888.45""}",0,0
0098-BOWSO,no,male,0,0,0,27,1,0,no,0,0,0,0,0,0,month-to-month,1,electronic check,"{""monthly"": 19.4, ""total"": ""529.8""}",0,1
0100-DUVFC,no,male,1,1,0,70,1,1,fiber_optic,0,1,1,0,1,1,one year,1,electronic check,"{""monthly"": 104.8, ""total"": ""7308.95""}",0,0
0103-CSITQ,no,female,0,1,0,57,1,1,fiber_optic,0,1,1,1,1,1,one year,1,bank transfer (automatic),"{""monthly"": 109.4, ""total"": ""6252.7""}",0,0
0104-PPXDV,no,male,0,1,0,58,1,0,dsl,0,0,1,0,0,0,one year,0,credit card (automatic),"{""monthly"": 50.3, ""total"": ""2878.55""}",0,0
0106-GHRQR,no,male,0,0,0,16,1,1,dsl,0,1,1,0,0,1,month-to-month,1,bank transfer (automatic),"{""monthly"": 71.4, ""total"": ""1212.1""}",0,0
0106-UGRDO,no,female,0,1,0,69,1,1,fiber_optic,1,1,1,1,1,1,two year,1,electronic check,"{""monthly"": 116.0, ""total"": ""8182.85""}",0,0
0107-WESLM,yes,male,0,0,0,1,1,0,no,0,0,0,0,0,0,month-to-month,1,electronic check,"{""monthly"": 19.85, ""total"": ""19.85""}",0,1
0107-YHINA,yes,male,0,0,1,1,1,1,fiber_optic,0,0,1,0,1,1,month-to-month,1,electronic check,"{""monthly"": 99.75, ""total"": ""99.75""}",0,0
0111-KLBQG,no,male,1,1,1,32,1,0,fiber_optic,0,1,0,0,1,1,month-to-month,1,mailed check,"{""monthly"": 93.95, ""total"": ""2861.45""}",0,0
0112-QAWRZ,no,male,0,1,1,16,1,1,fiber_optic,0,0,1,0,1,0,month-to-month,1,bank transfer (automatic),"{""monthly"": 90.8, ""total"": ""1442.2""}",0,0
0112-QWPNC,yes,male,0,1,0,49,1,1,dsl,1,0,1,1,1,1,one year,0,electronic check,"{""monthly"": 84.35, ""total"": ""4059.35""}",0,0
0114-IGABW,no,female,0,1,0,71,0,0,dsl,0,1,1,1,1,1,two year,0,bank transfer (automatic),"{""monthly"": 58.25, ""total"": ""4145.9""}",1,0
0114-PEGZZ,no,female,0,0,0,33,1,1,fiber_optic,0,1,1,0,1,1,month-to-month,0,electronic check,"{""monthly"": 107.55, ""total"": ""3645.5""}",0,0
0114-RSRRW,no,female,0,1,0,10,1,0,no,0,0,0,0,0,0,month-to-month,1,bank transfer (automatic),"{""monthly"": 19.95, ""total"": ""187.75""}",0,1
0115-TFERT,yes,male,0,1,0,21,1,1,fiber_optic,0,1,1,1,1,1,month-to-month,1,electronic check,"{""monthly"": 111.2, ""total"": ""2317.1""}",0,0
0117-LFRMW,yes,male,0,1,1,37,0,0,dsl,1,1,1,0,0,0,month-to-month,0,bank transfer (automatic),"{""monthly"": 40.2, ""total"": ""1448.8""}",1,0
0118-JPNOY,no,female,1,0,0,26,1,0,fiber_optic,1,0,0,0,1,0,month-to-month,1,credit card (automatic),"{""monthly"": 85.8, ""total"": ""2193.65""}",0,0
0120-YZLQA,nan,male,0,0,0,71,1,0,no,0,0,0,0,0,0,two year,1,credit card (automatic),"{""monthly"": 19.9, ""total"": ""1355.1""}",0,1
0121-SNYRK,no,male,0,0,0,50,0,0,dsl,1,0,0,1,0,0,one year,1,mailed check,"{""monthly"": 35.4, ""total"": ""1748.9""}",1,0
0122-OAHPZ,yes,female,0,0,0,7,1,1,fiber_optic,0,0,0,0,0,0,month-to-month,1,electronic check,"{""monthly"": 73.85, ""total"": ""511.25""}",0,0
0123-CRBRT,no,female,0,1,1,61,1,1,dsl,1,1,1,1,1,1,two year,0,mailed check,"{""monthly"": 88.1, ""total"": ""5526.75""}",0,0
0125-LZQXK,yes,male,0,0,0,15,1,0,fiber_optic,0,0,1,1,1,1,month-to-month,1,electronic check,"{""monthly"": 101.35, ""total"": ""1553.95""}",0,0
0128-MKWSG,no,female,0,0,1,26,0,0,dsl,1,0,0,1,0,1,month-to-month,0,mailed check,"{""monthly"": 45.8, ""total"": ""1147""}",1,0
0129-KPTWJ,no,male,0,1,0,72,1,0,fiber_optic,0,0,1,0,1,1,month-to-month,1,electronic check,"{""monthly"": 94.65, ""total"": ""6747.35""}",0,0
0129-QMPDR,no,male,0,1,1,44,1,0,no,0,0,0,0,0,0,one year,1,bank transfer (automatic),"{""monthly"": 20.5, ""total"": ""865.05""}",0,1
0130-SXOUN,no,male,0,0,0,66,1,1,fiber_optic,0,1,0,0,0,1,month-to-month,0,credit card (automatic),"{""monthly"": 89.4, ""total"": ""5976.9""}",0,0
0133-BMFZO,yes,female,0,0,0,2,1,0,fiber_optic,1,1,0,1,0,0,month-to-month,1,electronic check,"{""monthly"": 86.25, ""total"": ""181.65""}",0,0
0134-XWXCE,no,female,1,0,0,44,1,0,dsl,0,0,1,1,1,1,one year,0,bank transfer (automatic),"{""monthly"": 74.85, ""total"": ""3268.05""}",0,0
0135-NMXAP,yes,female,0,0,0,12,1,1,fiber_optic,0,1,0,0,1,0,month-to-month,1,bank transfer (automatic),"{""monthly"": 89.75, ""total"": ""1052.4""}",0,0
0136-IFMYD,no,male,1,1,0,69,1,1,fiber_optic,0,1,1,1,1,1,two year,1,electronic check,"{""monthly"": 109.95, ""total"": ""7634.25""}",0,0
0137-OCGAB,yes,female,0,0,0,1,1,1,fiber_optic,0,1,0,0,0,0,month-to-month,1,mailed check,"{""monthly"": 80.2, ""total"": ""80.2""}",0,0
0137-UDEUO,yes,female,0,0,0,3,1,0,no,0,0,0,0,0,0,month-to-month,0,mailed check,"{""monthly"": 19.85, ""total"": ""63.75""}",0,1
0139-IVFJG,no,female,0,1,0,2,1,0,fiber_optic,1,1,0,0,1,0,month-to-month,0,electronic check,"{""monthly"": 90.35, ""total"": ""190.5""}",0,0
0141-YEAYS,no,female,1,0,0,27,1,1,fiber_optic,0,1,1,0,0,0,month-to-month,1,bank transfer (automatic),"{""monthly"": 86.45, ""total"": ""2401.05""}",0,0
0142-GVYSN,no,male,0,0,0,26,1,0,no,0,0,0,0,0,0,month-to-month,1,electronic check,"{""monthly"": 20.3, ""total"": ""511.25""}",0,1
0147-ESWWR,no,female,1,1,0,39,1,1,fiber_optic,0,0,0,1,1,1,month-to-month,1,electronic check,"{""monthly"": 101.25, ""total"": ""3949.15""}",0,0
0148-DCDOS,yes,male,0,0,0,25,1,1,fiber_optic,0,0,0,0,1,1,month-to-month,1,bank transfer (automatic),"{""monthly"": 94.7, ""total"": ""2362.1""}",0,0
0151-ONTOV,yes,female,0,0,0,1,1,0,fiber_optic,0,0,0,0,0,0,month-to-month,0,mailed check,"{""monthly"": 70.9, ""total"": ""70.9""}",0,0
0154-QYHJU,nan,male,0,0,0,29,1,0,dsl,1,1,0,1,0,0,one year,1,electronic check,"{""monthly"": 58.75, ""total"": ""1696.2""}",0,0
0156-FVPTA,yes,male,0,1,0,22,1,0,dsl,1,0,0,1,0,0,month-to-month,1,electronic check,"{""monthly"": 54.2, ""total"": ""1152.7""}",0,0
0162-RZGMZ,nan,female,1,0,0,5,1,0,dsl,1,1,0,1,0,0,month-to-month,0,credit card (automatic),"{""monthly"": 59.9, ""total"": ""287.85""}",0,0
0164-APGRB,no,female,0,0,0,72,1,1,fiber_optic,1,1,1,1,1,1,two year,1,electronic check,"{""monthly"": 114.9, ""total"": ""8496.7""}",0,0
0164-XAIRP,no,female,0,0,0,24,1,0,no,0,0,0,0,0,0,two year,1,bank transfer (automatic),"{""monthly"": 19.55, ""total"": ""470.2""}",0,1
0168-XZKBB,no,female,0,1,0,19,1,1,fiber_optic,0,0,0,0,1,0,month-to-month,1,electronic check,"{""monthly"": 86.85, ""total"": ""1564.4""}",0,0
0174-QRVVY,no,male,0,1,1,71,1,1,no,0,0,0,0,0,0,two year,0,credit card (automatic),"{""monthly"": 25.35, ""total"": ""1847.55""}",0,1
0177-PXBAT,no,male,1,1,0,33,1,1,fiber_optic,1,0,1,1,1,1,month-to-month,1,bank transfer (automatic),"{""monthly"": 109.9, ""total"": ""3694.7""}",0,0
0178-CIIKR,no,female,0,0,0,3,1,0,no,0,0,0,0,0,0,month-to-month,0,mailed check,"{""monthly"": 19.95, ""total"": ""58""}",0,1
0178-SZBHO,no,male,0,1,1,47,1,1,fiber_optic,0,1,0,0,1,0,month-to-month,0,electronic check,"{""monthly"": 87.2, ""total"": ""4017.45""}",0,0
0181-RITDD,no,male,0,1,1,62,1,0,fiber_optic,1,1,1,1,1,1,two year,0,mailed check,"{""monthly"": 108.15, ""total"": ""6825.65""}",0,0
0186-CAERR,no,male,0,0,0,71,1,1,fiber_optic,1,1,1,1,1,1,one year,1,bank transfer (automatic),"{""monthly"": 116.3, ""total"": ""8309.55""}",0,0
0187-QSXOE,no,male,1,1,0,7,1,0,fiber_optic,0,0,0,0,1,1,month-to-month,1,electronic check,"{""monthly"": 89.0, ""total"": ""605.45""}",0,0
0187-WZNAB,no,female,0,1,1,27,1,0,fiber_optic,1,0,0,0,0,0,month-to-month,0,mailed check,"{""monthly"": 74.4, ""total"": ""1972.35""}",0,0
0188-GWFLE,no,male,0,0,0,2,1,0,no,0,0,0,0,0,0,month-to-month,0,mailed check,"{""monthly"": 20.05, ""total"": ""33.7""}",0,1
0191-EQUUH,no,female,0,0,1,25,0,0,dsl,1,0,0,1,0,0,two year,0,bank transfer (automatic),"{""monthly"": 35.05, ""total"": ""844.45""}",1,0
0191-ZHSKZ,no,male,1,0,0,30,1,0,dsl,1,1,0,0,1,1,month-to-month,1,electronic check,"{""monthly"": 74.75, ""total"": ""2111.3""}",0,0
0193-ESZXP,yes,female,1,1,0,58,1,0,fiber_optic,1,1,0,1,1,1,one year,1,credit card (automatic),"{""monthly"": 105.5, ""total"": ""6205.5""}",0,0
0195-IESCP,yes,male,0,1,0,10,1,1,fiber_optic,0,0,0,0,0,1,month-to-month,1,electronic check,"{""monthly"": 85.25, ""total"": ""855.3""}",0,0
0196-JTUQI,no,female,0,0,0,9,1,1,fiber_optic,0,0,0,0,0,0,month-to-month,1,credit card (automatic),"{""monthly"": 75.2, ""total"": ""633.85""}",0,0
0196-VULGZ,yes,female,1,1,0,6,1,1,fiber_optic,0,0,0,0,0,1,month-to-month,1,electronic check,"{""monthly"": 84.35, ""total"": ""474.9""}",0,0
0197-PNKNK,no,female,0,1,1,69,1,1,fiber_optic,1,0,1,0,0,0,one year,0,bank transfer (automatic),"{""monthly"": 84.45, ""total"": ""5848.6""}",0,0
0201-MIBOL,no,female,1,0,0,66,1,1,fiber_optic,1,0,0,0,1,1,two year,1,bank transfer (automatic),"{""monthly"": 102.4, ""total"": ""6471.85""}",0,0
0201-OAMXR,yes,female,0,0,0,70,1,1,fiber_optic,1,1,1,1,1,1,one year,0,credit card (automatic),"{""monthly"": 115.55, ""total"": ""8127.6""}",0,0
0203-HHYIJ,yes,male,0,0,0,25,1,1,no,0,0,0,0,0,0,one year,0,bank transfer (automatic),"{""monthly"": 25.3, ""total"": ""676.35""}",0,1
0206-OYVOC,no,female,0,1,1,46,1,0,no,0,0,0,0,0,0,two year,1,mailed check,"{""monthly"": 19.25, ""total"": ""864.2""}",0,1
0206-TBWLC,no,female,0,1,0,54,1,1,fiber_optic,1,1,1,1,1,1,one year,1,mailed check,"{""monthly"": 114.65, ""total"": ""6049.5""}",0,0
0207-MDKNV,yes,female,0,0,0,15,1,0,fiber_optic,1,0,1,1,1,1,month-to-month,0,electronic check,"{""monthly"": 105.1, ""total"": ""1582.75""}",0,0
0208-BPQEJ,no,female,0,1,1,12,1,0,no,0,0,0,0,0,0,month-to-month,0,bank transfer (automatic),"{""monthly"": 19.4, ""total"": ""198.1""}",0,1
0212-ISBBF,no,female,0,0,0,22,0,0,dsl,0,1,0,0,1,1,month-to-month,1,electronic check,"{""monthly"": 50.35, ""total"": ""1098.85""}",1,0
0214-JHPFW,no,female,0,1,0,70,0,0,dsl,0,1,1,1,1,1,two year,0,bank transfer (automatic),"{""monthly"": 57.8, ""total"": ""4039.3""}",1,0
0215-BQKGS,no,male,0,0,0,30,1,0,fiber_optic,1,1,1,0,0,0,month-to-month,1,credit card (automatic),"{""monthly"": 84.3, ""total"": ""2438.6""}",0,0
0218-QNVAS,no,male,0,1,1,71,1,1,fiber_optic,0,1,0,0,1,1,one year,0,bank transfer (automatic),"{""monthly"": 100.55, ""total"": ""7113.75""}",0,0
0219-QAERP,no,male,0,1,0,30,1,0,no,0,0,0,0,0,0,one year,0,credit card (automatic),"{""monthly"": 19.8, ""total"": ""576.65""}",0,1
0219-YTZUE,yes,male,0,1,1,4,1,1,fiber_optic,0,1,1,0,0,0,month-to-month,1,bank transfer (automatic),"{""monthly"": 84.8, ""total"": ""371.9""}",0,0
0220-EBGCE,yes,male,0,0,0,2,1,0,fiber_optic,0,0,1,0,0,1,month-to-month,1,electronic check,"{""monthly"": 85.85, ""total"": ""167.3""}",0,0
0221-NAUXK,no,male,0,0,1,10,1,0,no,0,0,0,0,0,0,one year,1,bank transfer (automatic),"{""monthly"": 19.95, ""total"": ""219.5""}",0,1
0221-WMXNQ,no,male,1,0,0,4,1,0,fiber_optic,1,0,0,0,0,0,month-to-month,0,electronic check,"{""monthly"": 75.35, ""total"": ""273.4""}",0,0
0222-CNVPT,no,male,1,0,0,52,0,0,dsl,1,0,0,0,1,1,month-to-month,1,credit card (automatic),"{""monthly"": 48.8, ""total"": ""2555.05""}",1,0
0224-HJAPT,yes,male,0,0,0,5,1,1,dsl,0,0,0,0,0,0,month-to-month,0,electronic check,"{""monthly"": 47.15, ""total"": ""223.15""}",0,0
0224-NIJLP,no,male,0,1,1,8,1,0,no,0,0,0,0,0,0,two year,0,mailed check,"{""monthly"": 20.15, ""total"": ""165.5""}",0,1
0224-RLWWD,no,female,1,0,0,2,1,0,dsl,0,0,0,0,0,0,month-to-month,1,electronic check,"{""monthly"": 44.3, ""total"": ""89.3""}",0,0
0225-ZORZP,no,male,0,0,0,3,1,0,fiber_optic,0,1,0,0,0,1,month-to-month,0,electronic check,"{""monthly"": 84.3, ""total"": ""235.05""}",0,0
0228-MAUWC,no,male,0,0,0,19,1,1,dsl,0,0,1,1,0,0,month-to-month,0,electronic check,"{""monthly"": 59.55, ""total"": ""1144.6""}",0,0
0229-LFJAF,no,male,0,0,0,72,1,1,dsl,1,1,1,1,0,0,two year,0,bank transfer (automatic),"{""monthly"": 69.65, ""total"": ""4908.25""}",0,0
0230-UBYPQ,no,male,1,1,0,63,0,0,dsl,1,0,0,1,0,0,one year,0,bank transfer (automatic),"{""monthly"": 36.1, ""total"": ""2298.9""}",1,0
0230-WEQUW,no,male,0,1,0,66,0,0,dsl,1,1,1,1,1,0,two year,1,bank transfer (automatic),"{""monthly"": 56.6, ""total"": ""3789.2""}",1,0
0231-LXVAP,yes,male,0,0,0,1,1,0,fiber_optic,0,0,0,1,0,0,month-to-month,1,electronic check,"{""monthly"": 75.9, ""total"": ""75.9""}",0,0
0233-FTHAV,no,female,0,0,0,60,1,1,fiber_optic,0,0,1,0,0,0,one year,1,bank transfer (automatic),"{""monthly"": 79.2, ""total"": ""4765""}",0,0
0234-TEVTT,no,female,0,1,1,48,0,0,dsl,1,0,1,0,0,1,one year,0,credit card (automatic),"{""monthly"": 45.0, ""total"": ""2196.3""}",1,0
0235-KGSLC,yes,female,0,0,0,1,1,0,fiber_optic,0,0,1,0,1,0,month-to-month,1,credit card (automatic),"{""monthly"": 85.55, ""total"": ""85.55""}",0,0
0236-HFWSV,yes,male,0,0,0,15,1,1,fiber_optic,0,0,0,0,1,1,month-to-month,1,electronic check,"{""monthly"": 93.35, ""total"": ""1444.65""}",0,0
0237-YFUTL,no,female,0,1,0,50,1,1,fiber_optic,1,1,0,1,1,1,month-to-month,1,bank transfer (automatic),"{""monthly"": 109.65, ""total"": ""5405.8""}",0,0
0238-WHBIQ,no,male,0,1,1,72,1,1,dsl,1,1,1,1,1,1,two year,0,credit card (automatic),"{""monthly"": 89.7, ""total"": ""6339.3""}",0,0
0239-OXEXL,no,female,0,0,0,46,1,1,fiber_optic,1,1,0,0,0,0,month-to-month,0,mailed check,"{""monthly"": 84.25, ""total"": ""3847.6""}",0,0
0244-LGNFY,no,female,0,1,1,72,1,1,dsl,1,1,1,1,1,1,two year,0,bank transfer (automatic),"{""monthly"": 92.65, ""total"": ""6733""}",0,0
0247-SLUJI,no,male,0,1,1,1,1,0,no,0,0,0,0,0,0,month-to-month,0,mailed check,"{""monthly"": 19.7, ""total"": ""19.7""}",0,1
0248-IPDFW,no,female,0,0,0,1,1,1,dsl,0,0,0,0,0,0,month-to-month,1,electronic check,"{""monthly"": 50.1, ""total"": ""50.1""}",0,0
0248-PGHBZ,no,female,1,0,0,67,1,0,fiber_optic,1,1,0,1,1,0,two year,1,bank transfer (automatic),"{""monthly"": 92.45, ""total"": ""6140.85""}",0,0
0253-ZTEOB,no,female,0,1,1,48,1,1,dsl,0,1,0,1,1,1,two year,0,electronic check,"{""monthly"": 79.65, ""total"": ""3870.3""}",0,0
0254-FNMCI,no,female,0,0,0,72,1,0,fiber_optic,1,1,1,1,1,1,two year,1,electronic check,"{""monthly"": 109.9, ""total"": ""7624.2""}",0,0
0254-KCJGT,no,male,0,1,0,52,1,1,dsl,1,1,1,1,0,1,one year,1,credit card (automatic),"{""monthly"": 81.4, ""total"": ""4354.45""}",0,0
0254-WWRKD,no,female,0,1,1,67,1,0,dsl,0,1,0,0,0,0,one year,0,credit card (automatic),"{""monthly"": 50.55, ""total"": ""3431.75""}",0,0
